hVD GTC	一代
DXA ilJ	文火
DXA DXD	文物
DXA elI	文科
DXA XpA	文章
DXA AVH	文筆
DXA XwD	文職
DXA gNC	文藝
DXA FMB	文體
BIB cfA	斐然
AdA IeA	斑斕
AdA DXA	斑紋
AdA DnB	斑馬
AdA AED	斑駁
AdA E5B	斑點
IhA IHB	料理
X1A XpD	斟酌
YuD NGA	斥資
QVA cVA	新人
QVA jvA	新型
QVA MpA	新娘
QVA iaI	新婚
QVA HgA	新年
QVA awD	新式
QVA LiA	新潮
QVA luJ	新穎
CqA cVA	旁人
CqA FvA	旁聽
CqA XwC	旁證
CqA AgA	旁邊
IJB erD	旅客
IJB ZoB	旅社
IJB LuA	旅程
IJB aoC	旅舍
IJB aoB	旅舍
IJB lyA	旅遊
IJB dcK	旅館
PAD cVA	族人
PAD ALB	族譜
fHA dcC	旗杆
fHA j7B	旗艦
fHA CkA	旗袍
cVD dqI	日光
cVD PgA	日前
cVD AkC	日報
cVD loC	日夜
cVD NHB	日子
cVD ZpA	日常
cVD fHA	日期
cVD XiC	日照
cVD huT	日益
cVD dHC	日記
cVD OKA	日趨
cVD deC	日間
NkB hcA	早安
NkB HgA	早年
NkB cVD	早日
NkB bVA	早晨
NkB fHA	早期
NkB ZBD	早熟
NkB OcA	早餐
iDD cVD	旭日
gqA dIK	昂貴
YpA DsA	昌明
DsA IpC	明亮
DsA FgA	明天
DsA DGG	明媚
DsA HgA	明年
DsA DXA	明文
DsA cVD	明日
DsA QvA	明星
DsA JFC	明智
DsA gZL	明月
DsA IqB	明朗
DsA DfD	明滅
DsA CrD	明白
DsA eED	明確
DsA XwC	明證
DsA igB	明顯
iaI h2C	昏暗
iaI ZFK	昏睡
QuD cVD	昔日
QvA PlK	星座
QvA QvA	星星
QvA fHA	星期
QvA fyA	星球
QvA ZVA	星辰
QvA NNC	星際
hsC XiC	映照
hsC TWC	映襯
YVI FgA	春天
YVI dGK	春季
YVI cVD	春日
YVI iII	春暉
YVI OyA	春秋
YVI NgD	春節
YVI VwD	春色
PqD loC	昨夜
PqD FgA	昨天
PqD DZB	昨晚
ZFB AIA	是非
ZHA GTC	時代
ZHA exD	時刻
ZHA aNC	時勢
ZHA AkC	時報
ZHA gFE	時宜
ZHA fDD	時局
ZHA ZpA	時常
ZHA RJB	時序
ZHA fHA	時期
ZHA dIA	時機
ZHA GcK	時段
ZHA NgD	時節
ZHA cHA	時而
ZHA ZVA	時辰
ZHA XDA	時鐘
ZHA deC	時間
ZHA jeB	時限
ZHA DkA	時髦
jqJ GAB	晃動
NVC d1H	晉級
DZB hcA	晚安
DZB hgC	晚宴
DZB fHA	晚期
DZB ASC	晚輩
DZB deC	晚間
DZB jnA	晚霞
DZB OcA	晚餐
JyC loC	晝夜
bVA iFE	晨曦
BLB f1H	普及
BLB XiC	普照
BLB IlA	普羅
BLB FAA	普通
BLB AgC	普遍
dsB ipK	景況
dsB DXD	景物
dsB JGC	景致
dsB VwD	景色
dsB RpB	景象
dsB E5B	景點
NuA BgC	晶片
NuA FMB	晶體
JFC IwD	智力
JFC jMK	智慧
aJB fHA	暑期
HcJ hHC	暖意
HcJ IyA	暖流
h2C lKC	暗喻
h2C aVD	暗室
h2C IfK	暗戀
h2C PGC	暗自
KpC eRK	暢快
KpC kpK	暢旺
KpC FAA	暢通
P3C GvA	暫停
P3C ZHA	暫時
P3C jcJ	暫緩
DLC VwD	暮色
CkC kKB	暴雨
CAD ILC	暴露
IvD A9D	曆法
G2A inI	曇花
ihB ExD	曉得
ZJC dqI	曙光
eDD NHB	曲子
eDD YuD	曲尺
eDD DBD	曲目
eDD QfC	曲線
eDD gNC	曲藝
eDD GhC	曲調
aJA ecA	書刊
aJA AjA	書包
aJA QoB	書寫
aJA AaB	書本
aJA JED	書桌
aJA fGO	書櫃
aJA A9D	書法
aJA VsA	書生
aJA jPK	書畫
aJA DBD	書目
aJA PuD	書籍
aJA O4A	書籤
aJA dHC	書記
aJA DfC	書面
PxA dvA	曾經
FMC GTC	替代
FMC aVA	替身
NOK TJA	最初
NOK XBA	最終
dOK dMC	會計
gZL IpC	月亮
gZL AVE	月份
gZL ecA	月刊
gZL TJA	月初
gZL dGK	月季
gZL IvD	月曆
gZL fyA	月球
gZL GTA	月臺
gZL QVA	月薪
gZL AuR	月餅
kyB IGC	有利
kyB IwD	有力
kyB DuQ	有名
kyB jOC	有害
kyB hHC	有意
kyB jjC	有效
kyB ZHA	有時
kyB dIA	有機
kyB IHB	有理
kyB huT	有益
kyB ddI	有關
kyB jeB	有限
kyB E5B	有點
CxA kyB	朋友
CBD ZHC	服侍
CBD jvA	服刑
CBD DKC	服務
CBD lDC	服用
CBD awD	服飾
IqB RDC	朗誦
LiA GvA	朝廷
LiA lpA	朝陽
JiA lpA	朝陽
JiA jnA	朝霞
fHA GTB	期待
fHA BeC	期盼
fHA iJB	期許
fHA ilK	期貨
fHA deC	期間
fHA jeB	期限
DAD dAA	木工
DAD PTA	木材
DAD AdB	木板
DAD dnI	木瓜
DAD CZD	木筏
DAD cHB	木耳
DAD GzA	木頭
DIC ITA	未來
DIC ZpA	未嘗
DIC iaI	未婚
DIC AVD	未必
DcD GTC	末代
DcD cVD	末日
DcD fHA	末期
DcD EcI	末端
AaB cVA	本人
AaB ITA	本來
AaB IGC	本利
AaB GGC	本地
AaB NHB	本子
AaB QuC	本性
AaB QwD	本息
AaB hHC	本意
AaB elI	本科
AaB aVA	本身
AaB d1E	本金
AaB IuB	本領
AaB FMB	本體
IHB NHB	李子
jrB cVA	杏仁
OaI NHB	村子
OaI DVA	村民
OaI SpA	村莊
OaI IqD	村落
GLB dgI	杜鵑
EAA AxD	東北
EAA H2A	東南
EAA QMA	東西
RDA aJB	松鼠
AdB ExC	板凳
AdB eSK	板塊
AdB aJA	板書
I1A GGC	林地
I1A DAD	林木
I1A g8D	林業
I1A I1D	林立
dlJ cVA	果仁
dlJ kZI	果園
dlJ NHB	果子
dlJ bVD	果實
dlJ X1D	果汁
dlJ cfA	果然
dlJ CFE	果皮
dlJ GqA	果糖
dlJ cBD	果肉
dlJ NpC	果醬
XFA NgD	枝節
dnC aNC	架勢
dnC NHB	架子
dnC dzC	架構
dnC OGC	架次
dzB eHB	枸杞
ArD lyA	柏油
d3A dVL	柑橘
cyA cpD	柔弱
cyA PuA	柔情
cyA DGF	柔美
cyA cfJ	柔軟
cyA cVC	柔韌
cyA bVK	柔順
jjC kyB	校友
jjC kZI	校園
djC ESK	校對
jjC esC	校慶
jjC CBD	校服
jjC dlA	校歌
jjC aoC	校舍
jjC dFI	校規
jjC iXK	校訓
jjC JpB	校長
jtD NHB	核子
jtD Q1A	核心
jtD GgC	核電
dbA dHA	根基
dbA EMB	根底
dbA dJC	根據
dbA AaB	根本
dbA gZI	根源
dMK kfI	桂圓
dMK inI	桂花
GkA cVA	桃仁
GkA inI	桃花
epI dnC	框架
hcC ffF	案件
hcC INC	案例
hcC PuA	案情
JED NHB	桌子
dgD drB	桔梗
DSA NHB	梅子
GhA ffF	條件
GhA INC	條例
GhA ecJ	條款
GhA DnB	條碼
FMA d1H	梯級
VJA IHB	梳理
eGC ffM	棄權
eGC JHC	棄置
DfA inI	棉花
DfA hkB	棉襖
CEB fyA	棒球
dwD ayB	棘手
V1A I1A	森林
QMA QwD	棲息
loA NHB	椰子
loA X1D	椰汁
lpA IyB	楊柳
g8D XKB	業主
g8D DKC	業務
g8D dQC	業界
g8D NvD	業績
g8D lJA	業餘
fwD IwD	極力
fwD B1F	極品
fwD GGC	極地
fwD EcI	極端
fwD E5B	極點
dTC IVL	概率
SWA NHB	榛子
ksI jtB	榮幸
ksI jtL	榮獲
ksI liC	榮耀
IyA IfA	榴槤/流連
dzC dZC	構建
dzC ZuA	構成
dzC JBD	構築
IqD kZI	樂園
IqD hHC	樂意
gED eDD	樂曲
gED XpA	樂章
IqD dcI	樂觀
IzA ZHB	樓市
YKA dIA	樞機
YKA MyB	樞紐
XpA DAD	樟木
DLA BpB	模仿
DLA fKC	模具
DLA jvA	模型
DLA awD	模式
DLA gHB	模擬
DLA C9B	模範
DLA jLA	模糊
BED QLC	樸素
ZKC dcC	樹幹
ZKB I1D	樹立/豎立
d3B I3B	橄欖
fiE DfC	橋面
dIA ffF	機件
dIA XNC	機制
dIA GAB	機動
dIA eGG	機器
dIA LpA	機場
dIA jQC	機械
dIA dzC	機構
dIA NLB	機組
dIA ddI	機關
dIA GgC	機電
dIA IvA	機靈
dIA FMB	機體
RpB CFE	橡皮
EqA hcC	檔案
d4F TeD	檢察
d4F TwD	檢測
d4F luL	檢疫
d4F lfL	檢閱
d4F g4G	檢驗
d4F E5B	檢點
MrB DAA	檸檬
fGO GTA	櫃檯
htA GkA	櫻桃
ffM IGC	權利
ffM IwD	權力
ffM hII	權威
ffM gFE	權宜
ffM huT	權益
ffM bVL	權術
ffM jrA	權衡
ffM DyA	權謀
ffM dIK	權貴
OGC B1F	次品
OGC RJB	次序
OGC VKC	次數
OGC hiC	次要
OGC ilK	次貨
iYA iHB	欣喜
iYA hIK	欣慰
iYA cfA	欣然
iYA apB	欣賞
eHA h7D	欺壓
eHA SnC	欺詐
ecJ awD	款式
ecJ jEB	款項
iZD QwD	歇息
dlA fsD	歌劇
dlA YpC	歌唱
dlA GcA	歌壇
dlA ayB	歌手
dlA eDD	歌曲
dlA auA	歌聲
dlA DKB	歌舞
dlA RHA	歌詞
dlA liA	歌謠
dlA DMA	歌迷
icI iHB	歡喜
icI Q1A	歡心
icI eRK	歡快
icI lKA	歡愉
icI IqD	歡樂
icI iYA	歡欣
XHB FAC	止痛
XuC PTB	正在
XuC ikB	正好
OFB exD	此刻
OFB GGC	此地
OFB gOK	此外
CLC CZD	步伐
CLC jrA	步行
CLC UyC	步驟
DKB j5D	武俠
DKB IwD	武力
DKB dAA	武功
DKB eGG	武器
DKB UHB	武士
DKB gNC	武藝
DKB bVL	武術
QNK gZL	歲月
IvD GTC	歷代
IvD ITA	歷來
IvD VHB	歷史
IvD dQC	歷屆
IvD ZHA	歷時
IvD LuA	歷程
IvD IgC	歷練
IvD i4F	歷險
dII inK	歸化
dII ZDD	歸屬
dII H2D	歸納
QGB DpA	死亡
QGB cVA	死人
QGB jvA	死刑
QGB hVA	死因
QGB PvD	死寂
QGB XoB	死者
QGB dIJ	死鬼
QGB EqB	死黨
RVK XwD	殉職
ZKA ksI	殊榮
ZwD DVA	殖民
PcA fDD	殘局
PcA AUC	殘廢
PcA SnA	殘渣
PcA PVD	殘疾
PcA BlC	殘破
PcA eCD	殘酷
PcA lJA	殘餘
AVC I4C	殯殮
N4A DfD	殲滅
GcK IqD	段落
iFO DfD	毀滅
gIC cfA	毅然
DzB jjC	母校
DzB FMB	母體
GCD B1F	毒品
GCD DXD	毒物
GCD QLC	毒素
GCD lpD	毒藥
CGA IfA	毗連
CGA IVA	毗鄰
DkA IGC	毛利
DkA eAB	毛孔
DkA dVE	毛巾
DkA CsC	毛病
DkA CFE	毛皮
DkA AVH	毛筆
DkA AZD	毛髮
jkA exD	毫克
jkA awA	毫升
jkA DMB	毫米
DVA XKB	民主
DVA RDD	民俗
DVA AsA	民兵
DVA dxL	民國
DVA LrD	民宅
DVA Q1A	民心
DVA XuC	民政
DVA PAD	民族
DVA dlA	民歌
DVA luI	民營
DVA VsA	民生
DVA jqA	民航
DVA liA	民謠
DVA deC	民間
aGJ kGK	水位
aGJ IGC	水利
aGJ erA	水坑
aGJ kwL	水域
aGJ GqA	水塘
aGJ h7D	水壓
aGJ jLA	水壺
aGJ eLC	水庫
aGJ OTB	水彩
aGJ jdK	水患
aGJ ayB	水手
aGJ DXA	水文
aGJ NuA	水晶
aGJ dlJ	水果
aGJ LFA	水池
aGJ BjA	水泡
aGJ IyA	水流
aGJ fJA	水渠
aGJ gZI	水源
aGJ haI	水溫
aGJ PFC	水漬
aGJ IiC	水療
aGJ dcJ	水管
aGJ XDB	水腫
aGJ inI	水花
aGJ ilK	水貨
aGJ ILC	水路
aGJ GkB	水道
aGJ ipA	水鄉
aGJ gVE	水銀
aGJ IBD	水陸
aGJ DfC	水面
ksJ dyB	永久
X1D luD	汁液
fyA UJC	求助
fyA PuA	求情
fyA hTC	求愛
fyA VsA	求生
fyA JFA	求知
fyA XwD	求職
fyA XwC	求證
dEA H2A	江南
dEA VeA	江山
dEA jLA	江湖
LFA GqA	池塘
dgL EcK	決斷
eIC YoA	汽車
L1A PvD	沉寂
L1A IVI	沉淪
L1A GgC	沉澱
L1A ZFK	沉睡
L1A DMA	沉迷
L1A NGK	沉醉
L1A DxD	沉默
DAD lDD	沐浴
jlA aGJ	河水
jlA IyA	河流
jlA DnB	河馬
AIC aGJ	沸水
AIC GxA	沸騰
lyA hgA	油煙
lyA DaA	油門
lfI gcC	沿岸
lfI iTB	沿海
lfI lDC	沿用
lfI QfC	沿線
lfI ILC	沿路
lfI GLA	沿途
PfI aGJ	泉水
PfI gZI	泉源
A9D cVA	法人
A9D EgB	法典
A9D XNC	法制
A9D NxD	法則
A9D IwD	法力
A9D jED	法學
A9D dcI	法官
A9D GvC	法定
A9D VGA	法師
A9D GvA	法庭
A9D IVL	法律
A9D hcC	法案
A9D IHB	法理
A9D dHB	法紀
A9D dFI	法規
BjA OTC	泡菜
AlA GAB	波動
AlA f1H	波及
AlA GkA	波濤
XKC hHC	注意
XKC NGA	注資
XKC LDB	注重
FOC EzB	泰斗
lpA lVD	洋溢
NVA F5D	津貼
jAA aGJ	洪水
jAA IyA	洪流
j6D apA	洽商
BPC ESK	派對
BPC jMC	派系
BPC JKC	派駐
IyA DpA	流亡
IyA GAB	流動
IyA kwL	流域
IyA aVD	流失
IyA d2B	流感
IyA QvA	流星
IyA KpC	流暢
IyA DtA	流氓
IyA aGJ	流水
IyA BPC	流派
IyA IGK	流淚
IyA LuA	流程
IyA IqD	流落
IyA igL	流血
IyA FAA	流通
IyA ZNC	流逝
IyA ILC	流露
IyA FMB	流體
CyA GAB	浮動
CyA L1A	浮沉
CyA lyA	浮游
CyA jgC	浮現
lDD jEA	浴缸
iTB ezB	海口
iTB DIC	海味
iTB kXI	海員
iTB QhC	海嘯
iTB kwL	海域
iTB AkC	海報
iTB gOK	海外
iTB gcC	海岸
iTB j6D	海峽
iTB EOC	海帶
iTB aGJ	海水
iTB lpA	海洋
iTB dEB	海港
iTB LiA	海潮
iTB hdI	海灣
iTB VGA	海獅
iTB GkC	海盜
iTB DfA	海綿
iTB E3B	海膽
iTB NkB	海藻
iTB IlI	海螺
iTB GaI	海豚
iTB AjC	海豹
iTB dXI	海軍
iTB kXK	海運
iTB ddI	海關
iTB DfC	海面
iTB EhB	海鳥
iTB hzA	海鷗
N1C BjA	浸泡
N1C FzC	浸透
QiA inK	消化
QiA aVD	消失
QiA DFB	消弭
QiA QwD	消息
QiA aJB	消暑
QiA fwD	消極
QiA GCD	消毒
QiA L1A	消沉
QiA DfD	消滅
QiA VyC	消瘦
QiA FSK	消退
QiA ZNC	消逝
QiA deA	消閒
luD NuA	液晶
luD FMB	液體
I1A AnA	淋巴
I1A lDD	淋浴
I1A IFA	淋漓
OMA INC	淒厲
OMA DGF	淒美
OMA DMA	淒迷
IGK aGJ	淚水
IGK XKA	淚珠
IGK geB	淚眼
PuC LHC	淨值
PuC inK	淨化
IVI IqD	淪落
IVI j6C	淪陷
l1A hUK	淫穢
hgI AqD	淵博
hgI gZI	淵源
jaJ IcK	混亂
jaJ XfC	混戰
jaJ jjA	混淆
jaJ P2D	混雜
OfB CrD	淺白
OfB VwD	淺色
F5A dnA	添加
F5A JHC	添置
OuA h0A	清幽
OuA QVA	清新
OuA NkB	清早
OuA DsA	清明
OuA bVA	清晨
OuA TJC	清楚
OuA dgD	清潔
OuA LfD	清澈
OuA VpB	清爽
OuA IHB	清理
OuA CrD	清白
OuA CcA	清盤
OuA QcJ	清算
OuA ONK	清脆
OuA XwA	清蒸
OuA CVE	清貧
OuA gnB	清雅
OuA PuB	清靜
OuA ipA	清香
d6B h7D	減壓
d6B cpD	減弱
d6B CIA	減肥
GLC IVI	渡輪
SnA SHB	渣滓
TwD jOK	測繪
TwD IpA	測量
TwD g4G	測驗
dEB cVA	港人
dEB ezB	港口
dEB AKB	港府
lyA ksK	游泳
DiB DqA	渺茫
FcI d1H	湍急
FcI IyA	湍流
jLA CqD	湖泊
jLA CcC	湖畔
gZI IyA	源流
gZI PGC	源自
gZI GzA	源頭
IyC AwA	溜冰
dzA fJA	溝渠
dzA FAA	溝通
eMA IyA	溪流
haI hZJ	溫婉
haI aVD	溫室
haI EOC	溫帶
haI UpA	溫床
haI PuA	溫情
haI HcJ	溫暖
haI cyA	溫柔
haI PfI	溫泉
haI cVK	溫潤
haI cfD	溫熱
haI R1D	溫習
haI AjB	溫飽
haI ivA	溫馨
DfD DpA	滅亡
DfD ilJ	滅火
DfD PfL	滅絕
NHA DIC	滋味
NHA ciB	滋擾
NHA cVK	滋潤
NHA VsA	滋生
NHA ALB	滋補
daL dMA	滑稽
FkA FkA	滔滔
V1C c1D	滲入
EvD aGJ	滴水
DcB FgA	滿天
DcB PlK	滿座
DcB hHC	滿意
DcB DBD	滿目
gJA g8D	漁業
gJA bfI	漁船
OVD eGG	漆器
IzC aGJ	漏水
lfB inK	演化
lfB kXI	演員
lfB YpC	演唱
lfB NzC	演奏
lfB fFF	演技
lfB IgC	演練
lfB luD	演繹
lfB R1D	演習
lfB gNC	演藝
lfB dEB	演講
lfB AfG	演變
DqD cfA	漠然
icC NHB	漢子
icC PHC	漢字
IfA hFE	漣漪
DcC FgA	漫天
DcC CLC	漫步
DcC lyA	漫遊
dgD PuC	潔淨
dgD CrD	潔白
cVK LrD	潤澤
LiA aGJ	潮水
LiA RuD	潮汐
LiA IyA	潮流
jSK lpA	潰瘍
GgC AXB	澱粉
dvD PuA	激情
dvD gqA	激昂
dvD IyA	激流
dvD IfD	激烈
dvD AZD	激發
MDA DVH	濃密
MDA IfD	濃烈
MDA VBD	濃縮
MDA hBD	濃郁
AVA iTB	濱海
dcK XKC	灌注
ilJ dqI	火光
ilJ aNC	火勢
ilJ inK	火化
ilJ VeA	火山
ilJ QvA	火星
ilJ UPA	火柴
ilJ FcC	火炭
ilJ BjC	火炮
ilJ l4C	火焰
ilJ cfD	火熱
ilJ ILA	火爐
ilJ NfC	火箭
ilJ jAA	火紅
ilJ FSJ	火腿
ilJ bfD	火舌
ilJ inI	火花
ilJ NqC	火葬
ilJ lpD	火藥
ilJ dsB	火警
ilJ YoA	火車
ilJ QAD	火速
ilJ dlI	火鍋
ilJ dMA	火雞
iSI LVA	灰塵
iSI PVC	灰燼
iSI VwD	灰色
XpD cfD	灼熱
XpD FAC	灼痛
NTA DVA	災民
NTA jlJ	災禍
YFI fKC	炊具
k4A cfD	炎熱
TjB dnA	炒家
TjB OTC	炒菜
TjB DgC	炒麵
jgK liC	炫耀
BjC AsA	炮兵
IfD UHB	烈士
IfD cVD	烈日
IfD l4C	烈焰
hLA ixD	烏黑
IqD hVC	烙印
BDA ilJ	烽火
icB N4D	焊接
DKA IwD	無力
DKA UJC	無助
DKA ZpA	無常
DKA jvA	無形
DKA Q1A	無心
DKA lpC	無恙
DKA PuA	無情
DKA hHC	無意
DKA dLC	無故
DKA jjC	無效
DKA GvD	無敵
DKA jnC	無暇
DKA dIA	無機
DKA A9D	無法
DKA IHB	無理
DKA jnA	無瑕
DKA lHC	無異
DKA gHA	無疑
DKA huT	無益
DKA JFA	無知
DKA IMB	無禮
DKA QGA	無私
DKA fBA	無窮
DKA EcI	無端
DKA lfI	無緣
DKA IhA	無聊
DKA auA	無聲
DKA gZA	無言
DKA gLC	無誤
DKA IaI	無論
DKA kIK	無謂
DKA IOC	無賴
DKA dLA	無辜
DKA deC	無間
DKA ddI	無關
DKA jeB	無限
DKA NNC	無際
DKA QKA	無需/無須
DKA AIA	無非
NiA d1H	焦急
NiA IJC	焦慮
NiA NkC	焦躁
NiA E5B	焦點
cfA cHA	然而
hgA ilJ	煙火
hgA inI	煙花
DSA lyA	煤油
DSA FcC	煤炭
DSA drJ	煤礦
icK AZD	煥發
XiC INC	照例
XiC DsA	照明
XiC BgC	照片
XiC QpC	照相
XiC liC	照耀
XiC dLC	照顧
CZA IcK	煩亂
CZA DaC	煩悶
CZA HkB	煩惱
CZA QlJ	煩瑣
QwD DfD	熄滅
QwD ilJ	熄火
jvI DqD	熒幕
ZBD erD	熟客
ZBD QVD	熟悉
ZBD ZFK	熟睡
ZBD IqD	熟絡
ZBD IgC	熟練
ZBD R1D	熟習
gkA lpD	熬藥
cfD IwD	熱力
cfD EOC	熱帶
cfD Q1A	熱心
cfD Z1A	熱忱
cfD PuA	熱情
cfD hTC	熱愛
cfD IfD	熱烈
cfD QfC	熱線
cfD igL	熱血
cfD ZuA	熱誠
cfD aVA	熱身
cfD DaA	熱門
cfD E5B	熱點
YHC IfD	熾烈
YHC cfD	熾熱
cfA E5B	燃點
ExA dqI	燈光
ExA F3D	燈塔
hgC NHB	燕子
luI GGC	營地
luI dZC	營建
luI dyC	營救
luI g8D	營業
luI CeC	營辦
luI kXK	營運
OcC IcC	燦爛
ILA NHB	爐子
ILA ilJ	爐火
CnA VeA	爬山
StA X1D	爭執
StA GcL	爭奪
StA LHA	爭持
StA gFG	爭議
StA CfF	爭辯
StA EzC	爭鬥
kFK IhB	爲了
kFK jlA	爲何
kFI HcA	爲難
kFI ayB	爲首
NpD UHB	爵士
ClB ClB	爸爸
VpB IqB	爽朗
PpA AvD	牆壁
PpA XFB	牆紙
PpA dED	牆角
BgC exD	片刻
BgC GcK	片段
BgC DfC	片面
AdB GLA	版圖
AdB AaB	版本
AdB ffM	版權
gnA O4A	牙籤
gnA hHA	牙醫
gnA ddI	牙關
gnA YHB	牙齒
gyA ZHB	牛市
gyA CQA	牛排
gyA cBD	牛肉
DyA IGC	牟利/謀利
DzB EcA	牡丹
DBD VGA	牧師
DBD GAA	牧童
DXD ffF	物件
DXD dnC	物價
DXD IwD	物力
DXD inK	物化
DXD B1F	物品
DXD g8D	物業
DXD IyA	物流
DXD IHB	物理
DXD XDB	物種
DXD VwD	物色
DXD XwC	物證
DXD NGA	物資
DXD FMB	物體
VsA ezB	牲口
GxD dnC	特價
GxD ecA	特刊
GxD CfH	特別
GxD GGC	特地
GxD GvC	特定
GxD QoB	特寫
GxD QuC	特性
GxD jMK	特惠
GxD hHC	特意
GxD fFF	特技
GxD ffM	特權
GxD ZKA	特殊
GxD BPC	特派
GxD VwD	特色
GxD iJB	特許
GxD P1D	特輯
GxD hiA	特邀
GxD E5B	特點
QMA IGC	犀利
iFE VsA	犧牲
C9B hcC	犯案
C9B PSJ	犯罪
C9B dFI	犯規
UpC gZI	狀元
UpC FTC	狀態
UpC ipK	狀況
jLA gHA	狐疑
OJA dvD	狙擊
ayC I4D	狩獵
j6D QiB	狹小
j6D SrD	狹窄
j6D gFG	狹義
j6D hPC	狹隘
DrB IwD	猛力
DrB IfD	猛烈
DrB cfA	猛然
OTA ffM	猜拳
OaL QGB	猝死
OaL cfA	猝然
jzA NHB	猴子
VGA NHB	獅子
NpB INC	獎勵
NpB XpA	獎章
NpB apB	獎賞
NpB d1E	獎金
NpB jEB	獎項
GAD E5A	獨佔
GAD EkC	獨到
GAD IwD	獨力
GAD NzC	獨奏
GAD kyB	獨有
GAD CLC	獨步
GAD GxD	獨特
GAD CrD	獨白
GAD I1D	獨立
GAD PGC	獨自
GAD NGA	獨資
jtL XVJ	獲准
jtL IGC	獲利
jtL ExD	獲得
jtL QVD	獲悉
jtL NpB	獲獎
jtL JFA	獲知
I4D VeD	獵殺
I4D DXD	獵物
ayC hHA	獸醫
jgI dIA	玄機
jgI ddI	玄關
gDD eGG	玉器
gDD DMB	玉米
gcK fKC	玩具
BlA IFA	玻璃
QcA jLA	珊瑚
JVA B1F	珍品
JVA AkB	珍寶
JVA QuD	珍惜
JVA XKA	珍珠
JVA iIA	珍稀
JVA dIK	珍貴
XKA AkB	珠寶
AdA EMB	班底
AdA OGC	班次
AdA d1H	班級
jgC d1E	現今/現金
jgC GTC	現代
jgC LpA	現場
jgC PaI	現存
jgC bVD	現實
jgC ZHA	現時
jgC UpC	現狀
jgC RpB	現象
jgC ilK	現貨
fyA kXI	球員
fyA LpA	球場
fyA BrD	球拍
fyA QTC	球賽
fyA DMA	球迷
IHB H5C	理念
IHB QuC	理性
IHB QpB	理想
IHB JFC	理智
IHB lyA	理由
IHB elI	理科
IHB IaK	理論
IHB PTA	理財
iLB BrD	琥珀
CGA CnA	琵琶
jnA PFA	瑕疵
lKA fmA	瑜伽
VWD VBD	瑟縮
QlJ QSK	瑣碎
OSJ OcC	璀璨
jdI AkB	環保
jdI dsB	環境
jdI CkB	環抱
jdI fyA	環球
jdI NgD	環節
jdI QfC	環線
jdI lyA	環遊
dnI NHB	瓜子
dnI dlJ	瓜果
PGA eGG	瓷器
PGA CvA	瓷瓶
d3A Q1A	甘心
d3A lyA	甘油
d3A G5A	甘甜
d3A OkB	甘草
d3A XoC	甘蔗
d3A gZK	甘願
G5A B1F	甜品
G5A DGF	甜美
G5A DVD	甜蜜
G5A NyB	甜酒
G5A E5B	甜點
lDC fKC	用具
lDC IwD	用力
lDC dAA	用功
lDC B1F	用品
lDC PHC	用字
lDC Q1A	用心
lDC ZfC	用膳
lDC GLA	用途
GgA kZI	田園
GgA GGC	田地
GgA dvC	田徑
GgA IlI	田螺
d7D AdB	甲板
aVA AkC	申報
aVA QLC	申訴
aVA CeC	申辦
aVA CfF	申辯
aVA IuB	申領
H2A cVA	男人
H2A UHB	男士
H2A NHB	男子
H2A QuC	男性
H2A VsA	男生
dQC GvC	界定
dQC jeB	界限
hIK VBD	畏縮
AVD g8D	畢業
AVD VsA	畢生
AVD dsC	畢竟
lHC inK	異化
lHC DIC	異味
lHC dxL	異國
lHC GGC	異地
lHC kwL	異域
lHC ZpA	異常
lHC OTB	異彩
lHC QuC	異性
lHC DXD	異物
lHC EcI	異端
lHC gFG	異議
lHC ipA	異鄉
dFE jvA	畸型/畸形
gHA RHB	疑似
gHA DXC	疑問
gHA GcI	疑團
gHA jxL	疑惑
gHA IJC	疑慮
gHA C9B	疑犯
gHA E5B	疑點
luL PuA	疫情
luL DiE	疫苗
CFE ffO	疲倦
CFE cpD	疲弱
CFE CQC	疲憊
GCA hTC	疼愛
GCA FAC	疼痛
PVD CsC	疾病
CsC cVA	病人
CsC INC	病例
CsC hVA	病因
CsC jdK	病患
CsC PuA	病情
CsC FTC	病態
CsC IvD	病歷
CsC GCD	病毒
CsC IHB	病理
CsC AfG	病變
CsC ZNC	病逝
jbA NuD	痕跡
fuR IfI	痙攣
FAC Q1A	痛心
FAC eRK	痛快
FAC dvD	痛擊
FAC TJC	痛楚
hJC igL	瘀血
TpA lGA	瘡痍
VyC QpD	瘦削
VyC cpD	瘦弱
VyC cBD	瘦肉
gpD PVD	瘧疾
IiC A9D	療法
IiC LuA	療程
ExA LpA	登場
ExA VeA	登山
ExA dHC	登記
AZD IpC	發亮
AZD ALC	發佈
AZD QVC	發信
AZD GAB	發動
AZD ZyC	發售
AZD DXC	發問
AZD AXC	發奮
AZD JfB	發展
AZD CXB	發憤
AZD EzB	發抖
AZD lpA	發揚
AZD iII	發揮
AZD DsA	發明
AZD gZI	發源
AZD cfD	發熱
AZD jgC	發現
AZD fyA	發球
AZD VsA	發生
AZD CsC	發病
AZD lBD	發育
AZD gnA	發芽
AZD AiF	發表
AZD gZA	發言
AZD ZNC	發誓
AZD eHB	發起
AZD QAC	發送
AZD djC	發酵
AZD GgC	發電
AZD h1E	發音
CrD FgA	白天
CrD PHC	白字
CrD DiE	白描
CrD dlJ	白果
CrD PGA	白瓷
CrD VwD	白色
CrD ZJC	白薯
